datetime,plant,As_tot_in,As_diss_in,As_tot_out,As_tot_out_cens,As_diss_out,As_diss_out_cens,pH,hardness,cond,TDS,turbidity,DOC,DOC_cens,TOC,TOC_cens,algae,Ca_tot,Ca_diss,Mg_tot,Mg_diss,Mn_tot,Mn_diss,Mn_diss_cens,K_tot,K_diss,Na_tot,Na_diss,F,Cl,SO4,sulphide,sulphide_cens,alkalinity,Al_tot,Sb_tot,B,Fe_tot,Fe_diss,Fe_diss_cens,Li_tot,Mo_tot,Mo_tot_cens,nitrate_N,nitrite_N,nitrite_N_cens,NH4_N,NH4_N_cens,DRP,DRP_cens,TP,coagulant,temperature,year,month,season,As_removed_abs,As_removal_pct,As_LRV,meets_MAV,qa_exclude_multivar,qa_exclude_reason
2011-07-06 00:00:00,HCC,0.0195,,0.0007778174593052023,True,,False,7.4,28.0,14.6,116.0,,2.8,False,3.3,False,,6.7,6.7,,2.7,0.027,0.0119,False,,3.0,,17.9,,15.7,11.9,0.001414213562373095,True,37.0,0.096,0.00069,,0.31,0.09,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2011,7,Winter,0.0187221825406948,96.01119251638359,1.3991569240362836,1.0,False,
2011-08-11 00:00:00,HCC,0.0189,,0.0007778174593052023,True,,False,,,,,,,False,,False,,,,,,,,False,,,,,,,,,False,,,,,,,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2011,8,Winter,0.0181221825406948,95.88456370737988,1.3855841168470098,1.0,False,
2011-09-22 00:00:00,HCC,0.024,,0.0017,False,,False,,,,,,,False,,False,,,,,,,,False,,,,,,,,,False,,,,,,,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2011,9,Spring,0.0223,92.91666666666666,1.149762320333332,1.0,False,
2011-10-19 00:00:00,HCC,0.031,,0.0028,False,,False,7.5,,,,,,False,3.0,False,,6.7,,,,0.056,0.0007,False,,,,,,,,,False,39.0,0.072,0.00081,,0.25,0.05,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2011,10,Spring,0.0282,90.96774193548387,1.0442036624920534,1.0,False,
2011-11-25 00:00:00,HCC,0.032,,0.0033,False,,False,,,,,,,False,,False,12105.0,,,,,,,False,,,,,,,,,False,,,,,,,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2011,11,Spring,0.0287,89.6875,0.9866360384420185,1.0,False,
2011-12-07 00:00:00,HCC,0.032,,0.0026,False,,False,,,,,,,False,,False,2661.0,,,,,,,False,,,,,,,,,False,,,,,,,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2011,12,Summer,0.029400000000000003,91.87500000000001,1.090176630349088,1.0,False,
2012-01-20 00:00:00,HCC,0.022,,0.0023,False,,False,7.4,24.0,14.7,121.0,,1.8,False,2.1,False,,6.0,5.9,,2.3,0.026,0.001,False,,2.8,,16.9,,15.2,10.0,0.001414213562373095,True,37.0,0.067,0.00064,,0.22,0.07,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2012,1,Summer,0.0197,89.54545454545455,0.9806948448046133,1.0,False,
2012-02-16 00:00:00,HCC,0.022,,0.0026,False,,False,7.6,28.0,14.6,115.0,,2.6,False,3.1,False,,6.3,6.6,2.7,2.8,0.026,0.00035355339059327376,True,3.0,3.0,17.2,17.8,,15.2,8.0,0.001414213562373095,True,40.0,0.038,0.0005,0.195,0.169,0.05,False,0.069,0.00041,False,0.178,0.004,False,0.019,False,,False,,Aluminium Sulphate,,2012,2,Summer,0.0194,88.18181818181819,0.9274493328513883,1.0,False,
2012-03-27 00:00:00,HCC,0.0242,,0.0019,False,,False,,,,,,,False,,False,2992.0,,,,,,,False,,,,,,,,,False,,,,,,,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2012,3,Autumn,0.0223,92.14876033057851,1.1050617650276022,1.0,False,
2012-04-18 00:00:00,HCC,0.0202,,0.00143,False,,False,7.1,26.7,16.3,124.0,,2.31,False,2.92,False,,,6.42,,2.68,0.0169,0.00052,False,,,,,,17.8,9.08,0.001414213562373095,True,42.8,0.0317,0.00063,,0.13,0.05,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2012,4,Autumn,0.01877,92.92079207920791,1.150015331981562,1.0,False,
2012-05-15 00:00:00,HCC,0.023,,0.00135,False,,False,,,,,,,False,,False,,,,,,,,False,,,,,,,,,False,,,,,,,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2012,5,Autumn,0.02165,94.1304347826087,1.2313940675225867,1.0,False,
